Date,"1 Mo","2 Mo","3 Mo","4 Mo","6 Mo","1 Yr","2 Yr","3 Yr","5 Yr","7 Yr","10 Yr","20 Yr","30 Yr"
08/16/2024,5.53,5.40,5.33,5.21,5.02,4.49,4.06,3.87,3.77,3.81,3.89,4.26,4.15
08/15/2024,5.53,5.40,5.34,5.22,5.04,4.52,4.08,3.90,3.79,3.83,3.92,4.28,4.18
08/14/2024,5.49,5.39,5.32,5.21,5.00,4.42,3.94,3.76,3.67,3.72,3.83,4.22,4.12
08/13/2024,5.48,5.39,5.32,5.18,4.97,4.40,3.93,3.75,3.68,3.74,3.85,4.25,4.16
08/12/2024,5.53,5.40,5.33,5.20,5.02,4.47,4.01,3.82,3.75,3.80,3.90,4.30,4.19
08/09/2024,5.54,5.40,5.33,5.22,5.02,4.50,4.05,3.86,3.80,3.85,3.94,4.33,4.23
08/08/2024,5.55,5.42,5.34,5.21,5.01,4.48,4.04,3.86,3.83,3.89,3.99,4.38,4.28
08/07/2024,5.50,5.43,5.34,5.21,4.99,4.45,4.00,3.81,3.79,3.85,3.96,4.35,4.26
08/06/2024,5.50,5.43,5.34,5.18,5.00,4.46,3.99,3.76,3.73,3.79,3.90,4.28,4.18
08/05/2024,5.52,5.43,5.35,5.14,4.91,4.34,3.89,3.71,3.62,3.66,3.78,4.16,4.06
08/02/2024,5.54,5.43,5.29,5.14,4.88,4.33,3.88,3.70,3.62,3.68,3.80,4.19,4.11
08/01/2024,5.55,5.46,5.37,5.28,5.08,4.62,4.16,3.96,3.84,3.89,3.99,4.35,4.27
